graph_name,varying_params,yamada,yamada_sigma
wheel,"(12,)",-Y**12 - 12*Y**10 - 66*Y**8 - 220*Y**6 - 495*Y**4 - 792*Y**2 - Y - 924 - 1/Y - 792/Y**2 - 495/Y**4 - 220/Y**6 - 66/Y**8 - 12/Y**10 - 1/Y**12,-sigma**12 + 12*sigma**11 - 66*sigma**10 + 220*sigma**9 - 495*sigma**8 + 792*sigma**7 - 924*sigma**6 + 792*sigma**5 - 495*sigma**4 + 220*sigma**3 - 66*sigma**2 + 11*sigma
ladder,"(2,)",Y + 1 + 1/Y,sigma
ladder,"(3,)",-Y**2 - Y - 2 - 1/Y - 1/Y**2,-sigma**2 + sigma
ladder,"(4,)",Y**3 + Y**2 + 3*Y + 2 + 3/Y + Y**(-2) + Y**(-3),sigma**3 - 2*sigma**2 + sigma
ladder,"(5,)",-Y**4 - Y**3 - 4*Y**2 - 3*Y - 6 - 3/Y - 4/Y**2 - 1/Y**3 - 1/Y**4,-sigma**4 + 3*sigma**3 - 3*sigma**2 + sigma
ladder,"(6,)",Y**5 + Y**4 + 5*Y**3 + 4*Y**2 + 10*Y + 6 + 10/Y + 4/Y**2 + 5/Y**3 + Y**(-4) + Y**(-5),sigma**5 - 4*sigma**4 + 6*sigma**3 - 4*sigma**2 + sigma
ladder,"(7,)",-Y**6 - Y**5 - 6*Y**4 - 5*Y**3 - 15*Y**2 - 10*Y - 20 - 10/Y - 15/Y**2 - 5/Y**3 - 6/Y**4 - 1/Y**5 - 1/Y**6,-sigma**6 + 5*sigma**5 - 10*sigma**4 + 10*sigma**3 - 5*sigma**2 + sigma
ladder,"(8,)",Y**7 + Y**6 + 7*Y**5 + 6*Y**4 + 21*Y**3 + 15*Y**2 + 35*Y + 20 + 35/Y + 15/Y**2 + 21/Y**3 + 6/Y**4 + 7/Y**5 + Y**(-6) + Y**(-7),sigma**7 - 6*sigma**6 + 15*sigma**5 - 20*sigma**4 + 15*sigma**3 - 6*sigma**2 + sigma
ladder,"(9,)",-Y**8 - Y**7 - 8*Y**6 - 7*Y**5 - 28*Y**4 - 21*Y**3 - 56*Y**2 - 35*Y - 70 - 35/Y - 56/Y**2 - 21/Y**3 - 28/Y**4 - 7/Y**5 - 8/Y**6 - 1/Y**7 - 1/Y**8,-sigma**8 + 7*sigma**7 - 21*sigma**6 + 35*sigma**5 - 35*sigma**4 + 21*sigma**3 - 7*sigma**2 + sigma
ladder,"(10,)",Y**9 + Y**8 + 9*Y**7 + 8*Y**6 + 36*Y**5 + 28*Y**4 + 84*Y**3 + 56*Y**2 + 126*Y + 70 + 126/Y + 56/Y**2 + 84/Y**3 + 28/Y**4 + 36/Y**5 + 8/Y**6 + 9/Y**7 + Y**(-8) + Y**(-9),sigma**9 - 8*sigma**8 + 28*sigma**7 - 56*sigma**6 + 70*sigma**5 - 56*sigma**4 + 28*sigma**3 - 8*sigma**2 + sigma
ladder,"(11,)",-Y**10 - Y**9 - 10*Y**8 - 9*Y**7 - 45*Y**6 - 36*Y**5 - 120*Y**4 - 84*Y**3 - 210*Y**2 - 126*Y - 252 - 126/Y - 210/Y**2 - 84/Y**3 - 120/Y**4 - 36/Y**5 - 45/Y**6 - 9/Y**7 - 10/Y**8 - 1/Y**9 - 1/Y**10,-sigma**10 + 9*sigma**9 - 36*sigma**8 + 84*sigma**7 - 126*sigma**6 + 126*sigma**5 - 84*sigma**4 + 36*sigma**3 - 9*sigma**2 + sigma
circular_ladder,"(3,)",-Y**4 + Y**3 - 3*Y**2 + 2*Y - 4 + 2/Y - 3/Y**2 + Y**(-3) - 1/Y**4,-sigma**4 + 5*sigma**3 - 8*sigma**2 + 4*sigma
circular_ladder,"(4,)",Y**5 - 2*Y**4 + 7*Y**3 - 5*Y**2 + 14*Y - 6 + 14/Y - 5/Y**2 + 7/Y**3 - 2/Y**4 + Y**(-5),sigma**5 - 7*sigma**4 + 20*sigma**3 - 25*sigma**2 + 11*sigma
circular_ladder,"(5,)",-Y**6 + 3*Y**5 - 11*Y**4 + 15*Y**3 - 29*Y**2 + 27*Y - 38 + 27/Y - 29/Y**2 + 15/Y**3 - 11/Y**4 + 3/Y**5 - 1/Y**6,-sigma**6 + 9*sigma**5 - 35*sigma**4 + 70*sigma**3 - 69*sigma**2 + 26*sigma
circular_ladder,"(6,)",Y**7 - 4*Y**6 + 16*Y**5 - 29*Y**4 + 61*Y**3 - 70*Y**2 + 106*Y - 90 + 106/Y - 70/Y**2 + 61/Y**3 - 29/Y**4 + 16/Y**5 - 4/Y**6 + Y**(-7),sigma**7 - 11*sigma**6 + 54*sigma**5 - 145*sigma**4 + 220*sigma**3 - 176*sigma**2 + 57*sigma
circular_ladder,"(7,)",-Y**8 + 5*Y**7 - 22*Y**6 + 49*Y**5 - 112*Y**4 + 161*Y**3 - 251*Y**2 + 268*Y - 320 + 268/Y - 251/Y**2 + 161/Y**3 - 112/Y**4 + 49/Y**5 - 22/Y**6 + 5/Y**7 - 1/Y**8,-sigma**8 + 13*sigma**7 - 77*sigma**6 + 259*sigma**5 - 525*sigma**4 + 637*sigma**3 - 426*sigma**2 + 120*sigma
circular_ladder,"(8,)",Y**9 - 6*Y**8 + 29*Y**7 - 76*Y**6 + 190*Y**5 - 322*Y**4 + 546*Y**3 - 679*Y**2 + 876*Y - 854 + 876/Y - 679/Y**2 + 546/Y**3 - 322/Y**4 + 190/Y**5 - 76/Y**6 + 29/Y**7 - 6/Y**8 + Y**(-9),sigma**9 - 15*sigma**8 + 104*sigma**7 - 420*sigma**6 + 1064*sigma**5 - 1722*sigma**4 + 1736*sigma**3 - 995*sigma**2 + 247*sigma
circular_ladder,"(9,)",-Y**10 + 7*Y**9 - 37*Y**8 + 111*Y**7 - 303*Y**6 + 588*Y**5 - 1086*Y**4 + 1548*Y**3 - 2156*Y**2 + 2411*Y - 2674 + 2411/Y - 2156/Y**2 + 1548/Y**3 - 1086/Y**4 + 588/Y**5 - 303/Y**6 + 111/Y**7 - 37/Y**8 + 7/Y**9 - 1/Y**10,-sigma**10 + 17*sigma**9 - 135*sigma**8 + 636*sigma**7 - 1932*sigma**6 + 3906*sigma**5 - 5250*sigma**4 + 4524*sigma**3 - 2267*sigma**2 + 502*sigma
